seq_no=195,	ch0= 757, ch1=  41, ch2= 320, ch3= 489, ch4= 303, ch5=   0, ts=1714038040148574,	delta=844,
seq_no=196,	ch0= 754, ch1= 125, ch2= 234, ch3= 429, ch4= 368, ch5=   0, ts=1714038040149413,	delta=839,
seq_no=197,	ch0= 760, ch1= 220, ch2= 142, ch3= 355, ch4= 402, ch5=   0, ts=1714038040150259,	delta=846,
seq_no=198,	ch0= 730, ch1= 321, ch2=  58, ch3= 289, ch4= 437, ch5=   0, ts=1714038040151159,	delta=900,
seq_no=199,	ch0= 677, ch1= 438, ch2=   1, ch3= 210, ch4= 480, ch5=  26, ts=1714038040151959,	delta=800,
seq_no=200,	ch0= 602, ch1= 534, ch2=   0, ch3= 136, ch4= 490, ch5=  93, ts=1714038040152794,	delta=835,
seq_no=201,	ch0= 514, ch1= 604, ch2=   0, ch3=  78, ch4= 448, ch5= 165, ts=1714038040153633,	delta=839,
seq_no=202,	ch0= 376, ch1= 696, ch2=   0, ch3=  79, ch4= 455, ch5= 242, ts=1714038040154470,	delta=837,
seq_no=203,	ch0= 301, ch1= 759, ch2=  64, ch3=   0, ch4= 415, ch5= 309, ts=1714038040155322,	delta=852,
seq_no=204,	ch0= 206, ch1= 781, ch2= 111, ch3=   0, ch4= 357, ch5= 429, ts=1714038040156152,	delta=830,
seq_no=205,	ch0= 159, ch1= 840, ch2= 236, ch3=   0, ch4= 293, ch5= 404, ts=1714038040156992,	delta=840,
seq_no=206,	ch0= 173, ch1= 729, ch2= 363, ch3=   0, ch4= 166, ch5= 467, ts=1714038040157834,	delta=842,
seq_no=207,	ch0=   0, ch1= 699, ch2= 488, ch3=  64, ch4= 134, ch5= 508, ts=1714038040158688,	delta=854,
