seq_no=175,	ch0= 429, ch1=   0, ch2= 752, ch3= 373, ch4=  16, ch5= 107, ts=1714036173316196,	delta=829,
seq_no=176,	ch0= 519, ch1=  21, ch2= 672, ch3= 356, ch4=  73, ch5=  44, ts=1714036173317033,	delta=837,
seq_no=177,	ch0= 599, ch1=   0, ch2= 477, ch3= 369, ch4= 125, ch5= 101, ts=1714036173317875,	delta=842,
seq_no=178,	ch0= 709, ch1=  93, ch2= 429, ch3= 383, ch4= 165, ch5=   0, ts=1714036173318726,	delta=851,
seq_no=179,	ch0= 731, ch1=  57, ch2= 329, ch3= 320, ch4= 192, ch5=   0, ts=1714036173319554,	delta=828,
seq_no=180,	ch0= 766, ch1= 153, ch2= 210, ch3= 287, ch4= 253, ch5=   0, ts=1714036173320394,	delta=840,
seq_no=181,	ch0= 756, ch1= 242, ch2= 103, ch3= 229, ch4= 285, ch5=   0, ts=1714036173321235,	delta=841,
seq_no=182,	ch0= 720, ch1= 353, ch2=  34, ch3= 166, ch4= 313, ch5=   1, ts=1714036173322081,	delta=846,
seq_no=183,	ch0= 658, ch1= 459, ch2=   0, ch3= 112, ch4= 327, ch5=  37, ts=1714036173322929,	delta=848,
seq_no=184,	ch0= 585, ch1= 568, ch2=   0, ch3=  69, ch4= 327, ch5=  81, ts=1714036173323763,	delta=834,
seq_no=185,	ch0= 456, ch1= 654, ch2=   0, ch3=  77, ch4= 320, ch5= 139, ts=1714036173324606,	delta=843,
seq_no=186,	ch0= 378, ch1= 747, ch2=  20, ch3=   0, ch4= 291, ch5= 192, ts=1714036173325442,	delta=836,
seq_no=187,	ch0= 280, ch1= 776, ch2=  51, ch3=   0, ch4= 261, ch5= 322, ts=1714036173326287,	delta=845,
seq_no=188,	ch0= 173, ch1= 884, ch2= 154, ch3=   1, ch4= 234, ch5= 239, ts=1714036173327138,	delta=851,
seq_no=189,	ch0= 126, ch1= 737, ch2= 277, ch3=   0, ch4=  89, ch5= 304, ts=1714036173327971,	delta=833,
seq_no=190,	ch0=   0, ch1= 719, ch2= 392, ch3=  71, ch4= 109, ch5= 366, ts=1714036173328812,	delta=841,
seq_no=191,	ch0=   0, ch1= 680, ch2= 520, ch3=  31, ch4=  73, ch5= 358, ts=1714036173329652,	delta=840,
seq_no=192,	ch0=   0, ch1= 595, ch2= 627, ch3=  78, ch4=  40, ch5= 353, ts=1714036173330496,	delta=844,
seq_no=193,	ch0=   0, ch1= 494, ch2= 714, ch3= 133, ch4=  10, ch5= 345, ts=1714036173331339,	delta=843,
seq_no=194,	ch0=   6, ch1= 394, ch2= 793, ch3= 196, ch4=   0, ch5= 326, ts=1714036173332182,	delta=843,
seq_no=195,	ch0=  70, ch1= 282, ch2= 846, ch3= 241, ch4=   0, ch5= 286, ts=1714036173333022,	delta=840,
seq_no=196,	ch0= 151, ch1= 171, ch2= 861, ch3= 291, ch4=   0, ch5= 249, ts=1714036173333862,	delta=840,
