seq_no=167,	ch0=   0, ch1= 610, ch2= 615, ch3=  86, ch4=  58, ch5= 420, ts=1714038097123803,	delta=829,
seq_no=168,	ch0=   0, ch1= 508, ch2= 705, ch3= 149, ch4=  25, ch5= 416, ts=1714038097124646,	delta=843,
seq_no=169,	ch0=   0, ch1= 400, ch2= 792, ch3= 224, ch4=   0, ch5= 392, ts=1714038097125488,	delta=842,
seq_no=170,	ch0=  67, ch1= 288, ch2= 833, ch3= 285, ch4=   0, ch5= 352, ts=1714038097126332,	delta=844,
seq_no=171,	ch0= 146, ch1= 186, ch2= 853, ch3= 329, ch4=   0, ch5= 305, ts=1714038097127184,	delta=852,
seq_no=172,	ch0= 214, ch1= 101, ch2= 845, ch3= 378, ch4=   0, ch5= 242, ts=1714038097128011,	delta=827,
seq_no=173,	ch0= 335, ch1=  30, ch2= 882, ch3= 396, ch4=   0, ch5= 186, ts=1714038097128856,	delta=845,
seq_no=174,	ch0= 450, ch1=   0, ch2= 722, ch3= 433, ch4=  35, ch5=  85, ts=1714038097129697,	delta=841,
seq_no=175,	ch0= 546, ch1=   0, ch2= 642, ch3= 454, ch4= 130, ch5=  64, ts=1714038097130715,	delta=1018,
seq_no=176,	ch0= 679, ch1=   0, ch2= 539, ch3= 450, ch4= 122, ch5=  27, ts=1714038097131420,	delta=705,
seq_no=177,	ch0= 658, ch1=  27, ch2= 469, ch3= 373, ch4= 194, ch5=  20, ts=1714038097132236,	delta=816,
seq_no=178,	ch0= 723, ch1=  70, ch2= 296, ch3= 373, ch4= 250, ch5=   0, ts=1714038097133073,	delta=837,
seq_no=179,	ch0= 766, ch1= 155, ch2= 196, ch3= 326, ch4= 300, ch5=   0, ts=1714038097133909,	delta=836,
seq_no=180,	ch0= 747, ch1= 260, ch2=  97, ch3= 257, ch4= 346, ch5=   0, ts=1714038097134766,	delta=857,
seq_no=181,	ch0= 714, ch1= 364, ch2=  27, ch3= 192, ch4= 357, ch5=  10, ts=1714038097135593,	delta=827,
seq_no=182,	ch0= 654, ch1= 480, ch2=   0, ch3= 134, ch4= 369, ch5=  38, ts=1714038097136430,	delta=837,
seq_no=183,	ch0= 568, ch1= 579, ch2=   0, ch3=  90, ch4= 386, ch5= 101, ts=1714038097137274,	delta=844,
seq_no=184,	ch0= 473, ch1= 651, ch2=   0, ch3=  53, ch4= 377, ch5= 146, ts=1714038097138114,	delta=840,
seq_no=185,	ch0= 378, ch1= 728, ch2=  27, ch3=   9, ch4= 353, ch5= 226, ts=1714038097138970,	delta=856,
seq_no=186,	ch0= 260, ch1= 773, ch2=  90, ch3=   0, ch4= 308, ch5= 295, ts=1714038097139803,	delta=833,
seq_no=187,	ch0= 161, ch1= 807, ch2= 246, ch3=   0, ch4= 265, ch5= 330, ts=1714038097140638,	delta=835,
seq_no=188,	ch0=  64, ch1= 891, ch2= 265, ch3=   0, ch4= 194, ch5= 320, ts=1714038097141484,	delta=846,
seq_no=189,	ch0=  37, ch1= 690, ch2= 407, ch3=   0, ch4=  50, ch5= 403, ts=1714038097142325,	delta=841,
seq_no=190,	ch0=   0, ch1= 672, ch2= 530, ch3=  49, ch4=  93, ch5= 424, ts=1714038097143228,	delta=903,
seq_no=191,	ch0=   0, ch1= 589, ch2= 637, ch3= 102, ch4=  45, ch5= 423, ts=1714038097144015,	delta=787,
seq_no=192,	ch0=   0, ch1= 486, ch2= 737, ch3= 168, ch4=  11, ch5= 411, ts=1714038097144852,	delta=837,
seq_no=193,	ch0=  10, ch1= 373, ch2= 802, ch3= 226, ch4=   0, ch5= 379, ts=1714038097145696,	delta=844,
seq_no=194,	ch0=  84, ch1= 275, ch2= 850, ch3= 286, ch4=   0, ch5= 335, ts=1714038097146535,	delta=839,
seq_no=195,	ch0= 125, ch1= 167, ch2= 862, ch3= 383, ch4=   0, ch5= 292, ts=1714038097147385,	delta=850,
seq_no=196,	ch0= 254, ch1=  76, ch2= 856, ch3= 376, ch4=   0, ch5= 225, ts=1714038097148224,	delta=839,
seq_no=197,	ch0= 364, ch1=  21, ch2= 763, ch3= 411, ch4=  11, ch5= 211, ts=1714038097149062,	delta=838,
seq_no=198,	ch0= 467, ch1=  21, ch2= 708, ch3= 432, ch4=  79, ch5= 100, ts=1714038097149956,	delta=894,
seq_no=199,	ch0= 672, ch1=   0, ch2= 676, ch3= 448, ch4=  57, ch5=  65, ts=1714038097150779,	delta=823,
seq_no=200,	ch0= 591, ch1=   0, ch2= 517, ch3= 342, ch4= 144, ch5=   5, ts=1714038097151588,	delta=809,
seq_no=201,	ch0= 714, ch1=  64, ch2= 484, ch3= 401, ch4= 254, ch5=   0, ts=1714038097152426,	delta=838,
seq_no=202,	ch0= 745, ch1=  97, ch2= 289, ch3= 362, ch4= 263, ch5=   0, ts=1714038097153261,	delta=835,
seq_no=203,	ch0= 753, ch1= 181, ch2= 177, ch3= 311, ch4= 304, ch5=   0, ts=1714038097154106,	delta=845,
seq_no=204,	ch0= 745, ch1= 275, ch2=  81, ch3= 245, ch4= 340, ch5=   0, ts=1714038097155032,	delta=926,
seq_no=205,	ch0= 704, ch1= 389, ch2=   6, ch3= 184, ch4= 372, ch5=  24, ts=1714038097155803,	delta=771,
seq_no=206,	ch0= 635, ch1= 506, ch2=   0, ch3= 114, ch4= 388, ch5=  64, ts=1714038097156641,	delta=838,
seq_no=207,	ch0= 562, ch1= 594, ch2=   0, ch3=  70, ch4= 380, ch5= 125, ts=1714038097157476,	delta=835,
